calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;
Bulevar Ricardo Jiménez Oreamundo;Bulevar Ricardo Jiménez Oreamundo;Bulevar;Ricardo;-2;Male;
Calle Fray Martín de Porres;Fray Martín Porres;Fray;Martín;-2;Male;
Avenida  Adolfo Carit Eva;Adolfo Carit Eva;Adolfo;Carit;-2;Male;
Avenida Adolfo Carit Eva;Adolfo Carit Eva;Adolfo;Carit;-2;Male;
Rotonda de San Sebastián;San Sebastián;San;Sebastián;-2;Male;
Calle Marcial Segura;Marcial Segura;Marcial;Segura;-2;Male;
Avenida Amalia Jiménez Volio;Amalia Jiménez Volio;Amalia;Jiménez;2;Female;https://es.wikipedia.org/wiki/Adelina_Jim%C3%A9nez_Jim%C3%A9nez
Max Jiménez;Max Jiménez;Max;Jiménez;-2;Male;
Calle Max Jiménez;Max Jiménez;Max;Jiménez;-2;Male;
Edgar Ardón;Edgar Ardón;Edgar;Ardón;-2;Male;
Rotonda de Betania;Betania;Betania;;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Betania
Calle Las Mercedes;Las Mercedes;Las;Mercedes;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_las_Mercedes_Rico_Carabias
Barrio Santa Lucia;Barrio Santa Lucia;Barrio;Santa;2;Female;https://es.wikipedia.org/wiki/Adriana_Luc%C3%ADa
Santa Barbara;Santa Barbara;Santa;Barbara;2;Female;https://es.wikipedia.org/wiki/Susana_de_Albania
