calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Rincón de la Vieja - Santa María;Vieja - Santa María;Vieja;-;2;Female;https://es.wikipedia.org/wiki/Sina_Santa_Mar%C3%ADa
Puente Yolanda Oreamuno;Yolanda Oreamuno;Yolanda;Oreamuno;2;Female;https://es.wikipedia.org/wiki/Yolanda_Oreamuno
La Constancia;La Constancia;La;Constancia;2;Female;
Boulevard Alcides Jiménez Rojas;Alcides Jiménez Rojas;Alcides;Jiménez;2;Male;
Calle Chon Mora;Chon Mora;Chon;Mora;2;Male;
Calle San Roque;San Roque;San;Roque;-2;Male;
Calle San Marcos;San Marcos;San;Marcos;-2;Male;
Calle Fernando;Fernando;Fernando;;-2;Male;
Calle San Juan;San Juan;San;Juan;-2;Male;
Calle Williams;Williams;Williams;;-2;Male;
Calle San Javier;San Javier;San;Javier;-2;Male;
Boulevard León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;
Boulevard San Martín;San Martín;San;Martín;-2;Male;
Calle San Miguel;San Miguel;San;Miguel;-2;Male;
Sendero George Powell;George Powell;George;Powell;-2;Male;
Trocha de San Luis;Trocha de San Luis;Trocha;de;-2;Male;
Calle San Antonio;San Antonio;San;Antonio;-2;Male;
Radial San Ramón;Radial San Ramón;Radial;San;-2;Male;
Calle San Luis;San Luis;San;Luis;-2;Male;
Calle Uriel González;Uriel González;Uriel;González;-2;Male;
Calle Efraín Zamora;Efraín Zamora;Efraín;Zamora;-2;Male;
Calle San Rafael;San Rafael;San;Rafael;-2;Male;
Calle Jerónimo Cubero;Jerónimo Cubero;Jerónimo;Cubero;-2;Male;
Radial Armando Kooper Vega;Radial Armando Kooper Vega;Radial;Armando;-2;Male;
Calle Amado Campos;Amado Campos;Amado;Campos;-2;Male;
Calle Central - Juan Vega;Central - Juan Vega;Central;-;-2;Male;
Avenida Central - León Cortés Castro;Central - León Cortés Castro;Central;-;-2;Male;
Calle San Isidro;San Isidro;San;Isidro;-2;Male;
Calle San José;San José;San;José;-2;Male;
Calle Santiago Alvarado;Santiago Alvarado;Santiago;Alvarado;-2;Male;
Puente Rafael Yglesias Castro;Rafael Yglesias Castro;Rafael;Yglesias;-2;Male;
Calle Abel Rodríguez;Abel Rodríguez;Abel;Rodríguez;-2;Male;
Calle Maurilio Ramos;Maurilio Ramos;Maurilio;Ramos;-2;Male;
Calle San Peter;San Peter;San;Peter;-2;Male;
Calle San Gerardo;San Gerardo;San;Gerardo;-2;Male;
Calle San Pío;San Pío;San;Pío;-2;Male;
Pasaje León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;
Boulevard Lorenzo Tristán;Lorenzo Tristán;Lorenzo;Tristán;-2;Male;
Calle Jesús Ocaña;Jesús Ocaña;Jesús;Ocaña;-2;Male;
Radial Francisco J. Orlich;Radial Francisco J. Orlich;Radial;Francisco;-2;Male;
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;
Calle Don Ricardo;Don Ricardo;Don;Ricardo;-2;Male;
Puente Rincón de Ricardo;Puente Ricardo;Puente;;-2;Male;
Calle San Martín;San Martín;San;Martín;-2;Male;
Calle Don Pedro;Don Pedro;Don;Pedro;-2;Male;
Calle Alfonso;Alfonso;Alfonso;;-2;Male;
Calle Cristo Rey;Cristo Rey;Cristo;Rey;-2;Male;
Calle Salomón Hernández;Salomón Hernández;Salomón;Hernández;-2;Male;
Puente San Miguel;San Miguel;San;Miguel;-2;Male;
Calle Esteban;Esteban;Esteban;;-2;Male;
Calle San Marco;San Marco;San;Marco;-2;Male;
Avenida Central - Juan Manuel López del Corral;Central - Juan Manuel López Corral;Central;-;-2;Male;
Calle Fabio Molina;Fabio Molina;Fabio;Molina;-2;Male;
Calle Benjamín Solórzano;Benjamín Solórzano;Benjamín;Solórzano;-2;Male;
Calle Joaquín Arias;Joaquín Arias;Joaquín;Arias;-2;Male;
Puente Francisco J. Orlich;Francisco J. Orlich;Francisco;J.;-2;Male;
Calle Urbanización Benjamin;Urbanización Benjamin;Urbanización;Benjamin;-2;Male;
Calle Marcos Víquez;Marcos Víquez;Marcos;Víquez;-2;Male;
Calle José Muñoz;José Muñoz;José;Muñoz;-2;Male;
Calle Wilson Víquez;Wilson Víquez;Wilson;Víquez;-2;Male;
Avenida Cristobal;Cristobal;Cristobal;;-2;Male;
Calle Don Tito;Don Tito;Don;Tito;-2;Male;
Calle Juan XXIII;Juan XXIII;Juan;XXIII;-2;Male;
Avenida Víctor Méndez;Víctor Méndez;Víctor;Méndez;-2;Male;
Calzada Gastón Michelli;Gastón Michelli;Gastón;Michelli;-2;Male;
Avenida Ricardo Orfila;Ricardo Orfila;Ricardo;Orfila;-2;Male;
Calle San Francisco;San Francisco;San;Francisco;-2;Male;
Res San Remo;Res San Remo;Res;San;-2;Male;
Calle Marcial Aguiluz;Marcial Aguiluz;Marcial;Aguiluz;-2;Male;
Puente Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;
Boulevard Ernesto Rohrmoser;Ernesto Rohrmoser;Ernesto;Rohrmoser;-2;Male;
Puente Juan Pablo II;Juan Pablo II;Juan;Pablo;-2;Male;
Calle Noé Marín;Noé Marín;Noé;Marín;-2;Male;
Calle Jesús León;Jesús León;Jesús;León;-2;Male;
Calle Francisco Corrales;Francisco Corrales;Francisco;Corrales;-2;Male;
Calle Pancracio;Pancracio;Pancracio;;-2;Male;
Calle Carlos David;Carlos David;Carlos;David;-2;Male;
Calle Ramiro;Ramiro;Ramiro;;-2;Male;
Colina Juan Pablo II;Colina Juan Pablo II;Colina;Juan;-2;Male;
Rotonda de San Sebastián;San Sebastián;San;Sebastián;-2;Male;
Calle Marcial Segura;Marcial Segura;Marcial;Segura;-2;Male;
Calle Celestino Elizondo;Celestino Elizondo;Celestino;Elizondo;-2;Male;
Calle San Fernando;San Fernando;San;Fernando;-2;Male;
